title,author,year,group,country,n,mean.gender.male,mean.gender.female,age.mean,age.sd,age.other.var,blinding,device,instruction,motivation,feedback,change_nft,update.timing,update.timing_1_TEXT,task.demands.type,trial.dur,trial.iti,trial.n,block.ibi,block.n,session.isi,session.n,session.dur,training.dur.days,training.dur.min,strategy.stim,bold.mod,eeg.mod,eeg.mod.amp,eeg.freq,rehearsal,func.loc,QA_Score,QA_Rating
"Neuronal activity in the brain changes during exercise in attention states, warm-up, submaximal effort, and recovery, after neurofeedback-EEG training in motion",Miroslaw,2022,,Poland,,,,18-25,,,1,3,2,2,26,3,1,,,300,30,6,,,7,20,32,120,600,6,,1,2,10,2,2,8,1
"Neurofeedback training with a low-priced EEG device leads to faster alpha enhancement but shows no effect on cognitive performance: A single-blind, sham-feedback study",Naas,2019,,Switzerland,17,5,12,21.29,,,2,3,1,2,"24,27",3,1,,1,180,30,5,,1,1,4,37,4,60,"2,3,4,9",,1,1,1,2,1,8,1
Effect of Threshold Setting on Neurofeedback Training,Nam_1,2020,low freq threshold,Republic of Korea,19,3,16,22.11,2.16,,1,3,2,2,"1,19,21,24,27","1,3",1,,,600,60-120,4,,1,,1,60,1,40,,,1,"1,2","15,16",2,2,9,1
Effect of Threshold Setting on Neurofeedback Training,Nam_2,2020,medium freq threshold,Republic of Korea,17,4,13,23.06,2.11,,1,3,2,2,"1,19,21,24,27","1,3",1,,,600,60-120,4,,1,,1,60,1,40,,,1,"1,2","15,16",2,2,9,1
Effect of Threshold Setting on Neurofeedback Training,Nam_3,2020,high freq threshold,Republic of Korea,20,5,15,22.7,2.83,,1,3,2,2,"1,19,21,24,27","1,3",1,,,600,60-120,4,,1,,1,60,1,40,,,1,"1,2","15,16",2,2,9,1
Using EEG Alpha States to Understand Learning During Alpha Neurofeedback Training for Chronic Pain,Patel,2021,,UK,4,,,,,,1,3,2,2,"22,27",1,1,,10,300,60,2,,1,7-Jan,5,21,21,50,,,1,1,1,2,2,8,1
Enhancing the Effects of Neurofeedback Training: The Motivational Value of the Reinforcers.,Perez-Elvira_1,2021,NF-Selected,Spain,48,19,29,35.9,12.02,,2,3,2,2,"20,23",3,1,0.032,,,,,,,,1,,1,,,,1,1,16,2,2,9,1
Enhancing the Effects of Neurofeedback Training: The Motivational Value of the Reinforcers.,Perez-Elvira_2,2021,NF-Imposed,Spain,45,21,24,38.42,12.17,,2,3,2,2,"26,27",3,1,0.032,,,,,,,,1,,1,,,,1,1,16,2,2,9,1
Neurofeedback of SMR and Beta1 Frequencies: An Investigation of Learning Indices and Frequency-Speci���c E���ects,Pimenta_1,2018,SMR,UK,10,4,6,23,1.45,,2,3,2,1,"1,16,21,27","1,3",1,,,150,10,4,10,2,,6,26.66667,14-21,120,,,1,"4,13,12",16,2,2,8,1
Neurofeedback of SMR and Beta1 Frequencies: An Investigation of Learning Indices and Frequency-Speci���c E���ects,Pimenta_2,2018,Beta1,UK,11,6,5,21.91,1.35,,2,3,2,1,"1,16,21,27","1,3",1,,,150,10,4,10,2,,6,26.66667,14-21,120,,,1,"4,13,12",10,2,2,8,1
Differential Activation Patterns in the Same Brain Region Led to Opposite Emotional States,Shibata_1,2016,Lower-Preference,Japan,12,,,,,,2,2,2,1,16,1,4,,,14.5,5.5,15,30,,1,3,66,3,117.45,"1,2,3,9",1,,,,2,1,9,1
Differential Activation Patterns in the Same Brain Region Led to Opposite Emotional States,Shibata_2,2016,Higher-Preference,Japan,12,,,,,,2,2,2,1,16,1,4,,,14.5,5.5,15,30,,1,3,66,3,117.45,"1,2,3,9",1,,,,2,1,9,1
The Effects of Theta EEG Neurofeedback on the Consolidation of Spatial Memory.,Shtoots_1,2021,Theta,Israel,18,7,11,22.8,2.9,,2,3,2,2,"1,27",1,1,,,600,60,3,,1,,1,37,1,30,,,1,1,15,2,2,11,2
The Effects of Theta EEG Neurofeedback on the Consolidation of Spatial Memory.,Shtoots_2,2021,Beta,Israel,18,5,13,24.1,3.4,,2,3,2,2,"1,27",1,1,,,600,60,3,,1,,1,37,1,30,,,1,1,15,2,2,11,2
Effect of beta and gamma neurofeedback on memory and intelligence in the elderly,Staufenbiel,2014,Gamma group,Netherlands,10,6,4,69.2,1.87,,3,3,2,2,19,3,1,1,9,1800,,1,,1,2-Jan,8,30,21,240,,,1,1,11,2,2,10,2
Slow cortical potential and theta/beta neurofeedback training in adults: effects on attentional processes and motor system excitability,Studer_1,2014,SCP training,Germany,19,10,9,25.08,2.47,,1,3,2,2,"1,27","1,2,3",1,,1,6,8-Jun,40-60,,2,7-Jan,10,50,70,80-120,,,1,"4,13,12",16,2,2,8,1
Slow cortical potential and theta/beta neurofeedback training in adults: effects on attentional processes and motor system excitability,Studer_2,2014,Theta/beta training,Germany,19,7,12,24.62,2.56,,1,3,2,2,"1,27","1,2,3",1,,1,300-600,,10,,2,7-Jan,10,50,70,1000,,,1,"1,2","10,13,15",2,2,8,1
Dynamics of EEG Potentials at the Beginning of a Series of EEG-Feedback Sessions,Tribrat_1,2007,,Ukraine,37,,,,,,2,3,1,2,19,2,1,,9,300,,1,,1,1,3,5,3,15,,,1,"1,9",1,2,2,8,1
Dynamic of EEG Potentials at the Beginning of a Series of EEG-Feedback Sessions,Tribrat_2,2007,,Ukraine,37,,,,,,2,3,1,2,19,,1,,9,300,,1,,1,1,3,5,3,15,,,1,1,15,2,2,8,1
EEG Theta/Beta Ratio Neurofeedback Training in Healthy Females,van Son,2020,Group A,Netherlands,4,0,4,20.5,1,,1,3,2,2,"1,27","1,2",1,0.125,,1500,,1,,1,3-Jan,14,1020-1190,28-42,350,,,1,"1,2","10,13",2,2,9,1
Effect of neurofeedback training on event-related desynchronization strength by motor imagery,Wada,2017,,Japan,11,7,4,20.4,0.5,,1,3,2,2,27,3,"1,4",,,20,6,5,,1,3-Jan,6,2.23,14,10,,,1,1,16,2,2,7,0
Control beliefs can predict the ability to up-regulate sensorimotor rhythm during neurofeedback training,Witte,2012,,Austria,10,,,,,,3,3,2,2,"1,21,26,27","1,3",1,,,180,,6,,1,,10,21,35,180,,,1,1,15,2,2,7,1
Connectivity Neurofeedback Training Can Differentially Change Functional Connectivity and Cognitive Performance,Yamashita_1,2017,Increase Connectivity,Japan,18,17,1,22.6,1.8,,1,2,1,1,16,3,4,,,22,14,10,,6,1,4,,4,88,,10,,,,2,2,8,1
Connectivity Neurofeedback Training Can Differentially Change Functional Connectivity and Cognitive Performance,Yamashita_2,2017,Decrease Connectivity,Japan,12,9,3,22.8,1.6,,1,2,1,1,16,3,4,,,22,14,10,,6,1,4,,4,88,,10,,,,2,2,8,1
Functional alteration of the DMN by learned regulation of the PCC using real-time fMRI.,Zhang,2013,,China,12,8,8,21,2,,1,2,1,2,18,2,1,7-Apr,,46,46,8,,2,,1,40.56,1,12.27,9,8,,,,1,1,9,1
Wireless EEG with individualized channel layout enables efficient motor imagery training,Zich,2015,,Germany,16,5,11,,,,1,3,1,2,1,1,1,0.0625,,8,.5-2.5,40,180-300,2,1,4,30-34,4,42.667,,,12,,16,1,1,7,0
