author_n,year,n,trial_num,time_since_first,train_amount_since_first,SMD,SE
Pimenta_1,2018,10,4,8.7504,80,0.231298,0.172683
Pimenta_1,2018,10,5,11.6671,100,0.462596,0.18822
Pimenta_1,2018,10,6,14.5838,120,1.040841,0.256516
Pimenta_1,2018,10,post,14.5838,120,0.346947,0.179321
Pimenta_2,2018,11,post,14.5838,120,-0.07475,0.16305
Pimenta_2,2018,11,2,2.917,40,0.224246,0.167512
Pimenta_2,2018,11,3,5.8337,60,0.074749,0.16305
Pimenta_2,2018,11,4,8.7504,80,0.373743,0.176098
Pimenta_2,2018,11,5,11.6671,100,0.373743,0.176098
Pimenta_2,2018,11,6,14.5838,120,0.298994,0.171322
Shibata_1,2016,12,2,1,78.3,0.137354,0.159839
Shibata_1,2016,12,3,2,117.45,0.42426,0.17486
Shibata_2,2016,12,2,1,78.3,0.252718,0.164173
Shibata_2,2016,12,3,2,117.45,0.175652,0.161005
Studer_1,2014,19,9,36,100,0.371007,0.144088
Studer_2,2014,19,9,36,1000,0.088313,0.13374
Tribrat,2007,37,2,1,10,0.006225,0.099661
Tribrat,2007,37,3,2,15,0.024122,0.099694
vanSon_1,2020,4,2,2,50,0.098098,0.168264
vanSon_1,2020,4,3,4,75,0.23133,0.172765
vanSon_1,2020,4,4,6,100,0.149731,0.169588
vanSon_1,2020,4,5,8,125,0.253871,0.173868
vanSon_1,2020,4,6,10,150,0.085723,0.168027
vanSon_1,2020,4,7,12,175,0.098916,0.168281
vanSon_1,2020,4,8,14,200,0.305422,0.176744
vanSon_1,2020,4,9,16,225,0.208572,0.171748
vanSon_1,2020,4,10,18,250,0.454542,0.18762
vanSon_1,2020,4,11,20,275,0.612873,0.20276
vanSon_1,2020,4,12,22,300,0.39715,0.183008
vanSon_1,2020,4,13,24,325,0.357941,0.180157
vanSon_1,2020,4,14,26,350,0.437945,0.186235
Weiss,2022,20,2,0.208,20.32145,0.070949,0.130743
Weiss,2022,20,3,0.833,30.48216,-0.12974,0.131698
Weiss,2022,20,4,1.041,40.64287,-0.17433,0.132787
Weiss,2022,20,5,1.249,50.80358,-0.0446,0.130496
Weiss,2022,20,6,1.874,60.96429,0.257444,0.135625
Weiss,2022,20,7,2.082,71.125,0.193408,0.133346
ZandiMehran,2013,8,post,20,100,1.083821,0.277576
Zhang,2013,12,8,0.014908,12.27,0.309788,0.167195
vanSon_2,2020,4,2,,50,-0.4548,0.187643
vanSon_2,2020,4,3,,75,0.375053,0.181371
vanSon_2,2020,4,4,,100,-0.32114,0.177715
vanSon_2,2020,4,5,,125,-0.62669,0.204231
vanSon_2,2020,4,6,,150,-0.46075,0.188149
vanSon_2,2020,4,7,,175,-0.09521,0.168206
vanSon_2,2020,4,8,,200,-0.8537,0.23122
