author_n,year,n,trial_num,time_since_first,train_amount_since_first,SMD,SE
Pimenta_2,2018,11,4,8.7504,80,0.373742922,0.17609836
Pimenta_2,2018,11,5,11.6671,100,0.373742922,0.17609836
Pimenta_2,2018,11,6,14.5838,120,0.298994337,0.17132172
Shibata_1,2016,12,2,1,78.3,0.137354112,0.159839426
Shibata_1,2016,12,3,2,117.45,0.424259806,0.174859683
Shibata_2,2016,12,2,1,78.3,0.252718124,0.16417263
Shibata_2,2016,12,3,2,117.45,0.175651607,0.161005115
Studer_1,2014,19,9,36,100,0.371006732,0.144088321
Studer_2,2014,19,9,36,1000,0.088313356,0.133739918
Tribrat,2007,37,2,1,10,0.006225125,0.099660635
Tribrat,2007,37,3,2,15,0.024122358,0.099694458
vanSon_1,2020,4,2,2,50,0.098098414,0.168263961
vanSon_1,2020,4,3,4,75,0.231329893,0.172764621
vanSon_1,2020,4,4,6,100,0.149731129,0.169588456
vanSon_1,2020,4,5,8,125,0.253871259,0.173868018
vanSon_1,2020,4,6,10,150,0.085722886,0.1680274
vanSon_1,2020,4,7,12,175,0.098916173,0.168280702
vanSon_1,2020,4,8,14,200,0.305421723,0.176743726
vanSon_1,2020,4,9,16,225,0.208571829,0.171748409
vanSon_1,2020,4,10,18,250,0.4545423,0.187620354
vanSon_1,2020,4,11,20,275,0.612873345,0.202759838
vanSon_1,2020,4,12,22,300,0.397149946,0.183008272
vanSon_1,2020,4,13,24,325,0.357940739,0.180157374
vanSon_1,2020,4,14,26,350,0.43794511,0.186234771
Weiss,2022,20,2,0.208,20.32145,0.070949078,0.130743323
Weiss,2022,20,3,0.833,30.48216,-0.129735456,0.13169784
Weiss,2022,20,4,1.041,40.64287,-0.174332019,0.13278651
Weiss,2022,20,5,1.249,50.80358,-0.044596563,0.130495831
Weiss,2022,20,6,1.874,60.96429,0.257443796,0.135625371
Weiss,2022,20,7,2.082,71.125,0.193407996,0.133346209
Zhang,2013,12,8,0.014908,12.27,0.309788164,0.167195225
